asv_key,kingdom,phylum,class,order,family,genus,species,accession,name,unique_name,query_length,align_length,pident,nident,score,length_ratio
asv_718093,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Kineothrix,Kineothrix_alysoides,NR_156078.1,Kineothrix_alysoides;328;91.159,Kineothrix_alysoides,331,328,91.159,299,238,1.00915
asv_718102,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_hydrogenotrophica,NR_026314.1,Blautia_hydrogenotrophica;332;98.494,Blautia_hydrogenotrophica,331,332,98.494,327,316,0.996988
asv_718118,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus_lactaris,NR_027579.1,Ruminococcus_lactaris;327;94.495,Ruminococcus_lactaris,331,327,94.495,309,271,1.01223
asv_718119,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium]_algidixylanolyticum,NR_028726.1,Lactonifactor_longoviformis;[Clostridium]_algidixylanolyticum;332;94.88,[Clostridium]_algidixylanolyticum,331,332,94.88,315,280,0.996988
asv_718120,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_luti,NR_114315.1,Blautia_luti;Blautia_wexlerae;327;91.437,Blautia_luti,332,327,91.437,299,242,1.01529
asv_718122,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria_ivanovii,NR_036809.1,Listeria_innocua;Listeria_ivanovii;Listeria_marthii;Listeria_seeligeri;Listeria_welshimeri;331;99.396,Listeria_ivanovii,332,331,99.396,329,325,1.00302
asv_718136,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_hydrogenotrophica,NR_026314.1,Blautia_hydrogenotrophica;332;97.59,Blautia_hydrogenotrophica,331,332,97.59,324,307,0.996988
asv_718149,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_hydrogenotrophica,NR_026314.1,Blautia_hydrogenotrophica;332;97.59,Blautia_hydrogenotrophica,331,332,97.59,324,307,0.996988
asv_718150,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,Anaerostipes_butyraticus,NR_113319.1,Anaerostipes_butyraticus;316;96.519,Anaerostipes_butyraticus,331,316,96.519,305,283,1.04747
asv_718165,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Faecalicatena,Faecalicatena_orotica,NR_114392.1,Faecalicatena_orotica;315;92.698,Faecalicatena_orotica,331,315,92.698,292,245,1.05079
asv_718172,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Kineothrix,Kineothrix_alysoides,NR_156078.1,Kineothrix_alysoides;326;91.104,Kineothrix_alysoides,332,326,91.104,297,239,1.0184
asv_718173,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_luti,NR_041960.1,Blautia_luti;246;98.374,Blautia_luti,324,246,98.374,242,233,1.31707
asv_718204,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium]_xylanolyticum,NR_037068.1,[Clostridium]_xylanolyticum;331;96.979,[Clostridium]_xylanolyticum,331,331,96.979,321,302,1
asv_718211,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium_pacaense,NR_147396.1,Lachnoclostridium_pacaense;331;96.073,Lachnoclostridium_pacaense,331,331,96.073,318,292,1
asv_718217,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_luti,NR_041960.1,Blautia_luti;332;97.892,Blautia_luti,331,332,97.892,325,314,0.996988
asv_718220,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,Anaerostipes_caccae,NR_028915.1,Anaerostipes_caccae;331;99.698,Anaerostipes_caccae,331,331,99.698,330,328,1
asv_718226,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,Phascolarctobacterium_faecium,NR_026111.1,Phascolarctobacterium_faecium;331;99.698,Phascolarctobacterium_faecium,331,331,99.698,330,328,1
asv_718231,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus_lactaris,NR_027579.1,Ruminococcus_lactaris;333;96.697,Ruminococcus_lactaris,331,333,96.697,322,298,0.993994
asv_718237,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus_faecis,NR_116747.1,Ruminococcus_faecis;331;97.281,Ruminococcus_faecis,331,331,97.281,322,304,1
asv_718246,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus_lactaris,NR_027579.1,Ruminococcus_lactaris;327;91.743,Ruminococcus_lactaris,331,327,91.743,300,244,1.01223
asv_718250,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_hydrogenotrophica,NR_026314.1,Blautia_hydrogenotrophica;332;96.988,Blautia_hydrogenotrophica,331,332,96.988,322,301,0.996988
asv_718251,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_hydrogenotrophica,NR_026314.1,Blautia_hydrogenotrophica;332;97.59,Blautia_hydrogenotrophica,331,332,97.59,324,307,0.996988
asv_718257,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthella,Eggerthella_lenta,NR_074377.1,Eggerthella_lenta;324;94.444,Eggerthella_lenta,330,324,94.444,306,269,1.01852
asv_718260,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus_lactaris,NR_027579.1,Ruminococcus_lactaris;331;96.073,Ruminococcus_lactaris,331,331,96.073,318,292,1
asv_718278,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_hydrogenotrophica,NR_026314.1,Blautia_hydrogenotrophica;332;97.892,Blautia_hydrogenotrophica,331,332,97.892,325,310,0.996988
asv_718281,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Anaerofustis,Anaerofustis_stercorihominis,NR_027562.1,Anaerofustis_stercorihominis;324;99.691,Anaerofustis_stercorihominis,324,324,99.691,323,321,1
asv_718299,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_luti,NR_041960.1,Blautia_luti;326;93.252,Blautia_luti,331,326,93.252,304,263,1.01534
asv_718306,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_dorei,NR_041351.1,Bacteroides_dorei;250;98.8,Bacteroides_dorei,331,250,98.8,247,241,1.324
asv_718314,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Fusicatenibacter,Fusicatenibacter_saccharivorans,NR_114326.1,Fusicatenibacter_saccharivorans;326;90.798,Fusicatenibacter_saccharivorans,331,326,90.798,296,235,1.01534
asv_718316,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium]_algidixylanolyticum,NR_028726.1,Lachnoclostridium_pacaense;[Clostridium]_algidixylanolyticum;331;95.77,[Clostridium]_algidixylanolyticum,331,331,95.77,317,289,1
asv_718317,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,Dorea_formicigenerans,NR_044645.2,Dorea_formicigenerans;331;95.77,Dorea_formicigenerans,331,331,95.77,317,290,1
asv_718327,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_hydrogenotrophica,NR_026314.1,Blautia_hydrogenotrophica;332;96.687,Blautia_hydrogenotrophica,331,332,96.687,321,298,0.996988
asv_718329,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,Dorea_longicatena,NR_028883.1,Dorea_longicatena;332;97.892,Dorea_longicatena,331,332,97.892,325,310,0.996988
asv_718334,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_hydrogenotrophica,NR_026314.1,Blautia_hydrogenotrophica;332;96.386,Blautia_hydrogenotrophica,331,332,96.386,320,295,0.996988
asv_718345,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_luti,NR_041960.1,Blautia_luti;332;92.47,Blautia_luti,328,332,92.47,307,257,0.987952
asv_718356,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_luti,NR_041960.1,Blautia_luti;332;95.181,Blautia_luti,331,332,95.181,316,287,0.996988
asv_718366,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,Romboutsia_timonensis,NR_144740.1,Romboutsia_timonensis;329;99.392,Romboutsia_timonensis,329,329,99.392,327,323,1
asv_718374,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_hydrogenotrophica,NR_026314.1,Blautia_hydrogenotrophica;332;97.289,Blautia_hydrogenotrophica,331,332,97.289,323,304,0.996988
asv_718379,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium_pacaense,NR_147396.1,Lachnoclostridium_pacaense;326;91.411,Lachnoclostridium_pacaense,332,326,91.411,298,241,1.0184
asv_718396,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_hydrogenotrophica,NR_026314.1,Blautia_hydrogenotrophica;332;90.663,Blautia_hydrogenotrophica,328,332,90.663,301,237,0.987952
asv_718418,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,Erysipelatoclostridium_ramosum,NR_029247.1,Erysipelatoclostridium_ramosum;327;99.694,Erysipelatoclostridium_ramosum,327,327,99.694,326,324,1
asv_718438,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Butyricicoccus,Butyricicoccus_pullicaecorum,NR_044490.1,Butyricicoccus_pullicaecorum;332;93.373,Butyricicoccus_pullicaecorum,332,332,93.373,310,266,1
asv_718445,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium_pacaense,NR_147396.1,Lachnoclostridium_pacaense;331;95.468,Lachnoclostridium_pacaense,331,331,95.468,316,286,1
asv_718446,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus_lactaris,NR_027579.1,Ruminococcus_lactaris;331;97.583,Ruminococcus_lactaris,331,331,97.583,323,307,1
