asv_key,sampleid,count,count_relative
asv_728,1361I,5,9.98043834085193e-5
asv_177,1361I,91,0.00181643977803505
asv_346,1361I,15,2.994131502255579e-4
asv_146,1361I,145,0.00289432711884705
asv_63,1361I,1527,0.03048025869296179
asv_794,1361I,9,1.7964789013533475e-4
asv_69,1361I,17,3.3933490358896564e-4
asv_2,1361I,1458,0.02910295820192423
asv_190,1361I,88,0.00175655714798993
asv_3577,1361I,361,0.00720587648209509
asv_66447,1361I,50,9.98043834085193e-4
asv_105,1361I,111,0.00221565731166912
asv_266,1361I,2,3.992175336340772e-5
asv_249,1361I,7,1.3972613677192702e-4
asv_662,1361I,12,2.3953052018044633e-4
asv_88,1361I,55,0.00109784821749371
asv_43,1361I,223,0.00445127550001996
asv_610,1361I,11,2.195696434987425e-4
asv_282,1361I,31,6.187871771328197e-4
asv_1838,1361I,4,7.984350672681544e-5
asv_127,1361I,101,0.00201604854485209
asv_1,1361J,24310,0.8268426244005306
asv_15,1361J,82,0.00278902078160606
asv_401,1361J,36,0.00122444814802217
asv_4,1361J,14,4.7617427978640184e-4
asv_2329,1361J,7,2.3808713989320092e-4
asv_112,1361J,52,0.00176864732492092
asv_177,1361J,3191,0.10853372334274344
asv_1003,1361J,6,2.0407469133702937e-4
asv_46,1361J,8,2.720995884493725e-4
asv_6,1361J,7,2.3808713989320092e-4
asv_5,1361J,2,6.802489711234312e-5
asv_74,1361J,3,1.0203734566851468e-4
asv_9565,1361J,6,2.0407469133702937e-4
asv_249,1361J,2,6.802489711234312e-5
asv_43,1361J,492,0.0167341246896364
asv_338,1361J,45,0.00153056018502772
asv_282,1361J,145,0.00493180504064487
asv_938,1361J,993,0.03377436141627835
asv_1,1361K,31566,0.9867150135975744
asv_25,1361K,4,1.25035166140477e-4
asv_15,1361K,52,0.0016254571598262
asv_4,1361K,13,4.063642899565503e-4
asv_112,1361K,25,7.814697883779813e-4
asv_177,1361K,187,0.0058453940170673
asv_78,1361K,5,1.5629395767559627e-4
asv_1003,1361K,2,6.25175830702385e-5
asv_2,1361K,7,2.1881154074583476e-4
asv_7,1361K,8,2.50070332280954e-4
asv_9565,1361K,5,1.5629395767559627e-4
asv_43,1361K,34,0.00106279891219405
asv_338,1361K,7,2.1881154074583476e-4
asv_282,1361K,12,3.75105498421431e-4
asv_131,1361K,6,1.875527492107155e-4
asv_105307,1361K,5,1.5629395767559627e-4
asv_938,1361K,53,0.00165671595136132
asv_1,1361L,38090,0.875954374022629
asv_15,1361L,115,0.00264465090608039
asv_322,1361L,17,3.9094839481188486e-4
asv_9,1361L,12,2.759635728083893e-4
asv_401,1361L,39,8.968816116272652e-4
asv_4,1361L,6,1.3798178640419466e-4
asv_112,1361L,80,0.00183975715205592
asv_177,1361L,2848,0.06549535461319106
asv_1003,1361L,11,2.529666084076902e-4
asv_6,1361L,7,1.6097875080489375e-4
asv_1939,1361L,10,2.2996964400699108e-4
asv_43,1361L,412,0.00947474933308803
asv_4233,1361L,635,0.01460307239444393
asv_338,1361L,204,0.00469138073774261
asv_282,1361L,82,0.00188575108085732
asv_938,1361L,916,0.02106521939104038
asv_1,1361M,30370,0.8750900446621525
asv_15,1361M,306,0.00881717331796571
asv_30,1361M,27,7.779858809969745e-4
asv_324,1361M,85,0.00244921481054603
asv_2419,1361M,145,0.00417807232387264
asv_322,1361M,62,0.00178648609710416
asv_42,1361M,11,3.169572107765452e-4
asv_401,1361M,138,0.0039763722806512
asv_4,1361M,389,0.01120875954473418
asv_569,1361M,267,0.00769341593430341
asv_1968,1361M,133,0.00383230082120731
asv_1678,1361M,107,0.00308312923209912
asv_652,1361M,435,0.01253421697161792
asv_756,1361M,58,0.00167122892954905
asv_2329,1361M,245,0.00705950151275032
asv_112,1361M,201,0.00579167266964414
asv_728,1361M,7,2.0170004322143785e-4
asv_177,1361M,79,0.00227632905921337
asv_42560,1361M,106,0.00305431494021034
asv_211,1361M,51,0.00146952888632761
asv_4490,1361M,196,0.00564760121020025
asv_1003,1361M,66,0.00190174326465927
asv_869,1361M,9,2.593286269989915e-4
asv_104465,1361M,5,1.4407145944388418e-4
asv_5426,1361M,8,2.305143351102147e-4
asv_6,1361M,181,0.0052153868318686
asv_411,1361M,24,6.91543005330644e-4
asv_13704,1361M,11,3.169572107765452e-4
asv_190,1361M,19,5.474715458867598e-4
asv_7,1361M,8,2.305143351102147e-4
asv_931,1361M,47,0.00135427171877251
asv_1776,1361M,1,2.8814291888776833e-5
asv_98,1361M,13,3.745857945540988e-4
asv_1509,1361M,4,1.1525716755510732e-4
asv_249,1361M,75,0.00216107189165826
asv_43,1361M,134,0.00386111511309609
asv_57189,1361M,15,4.322143783316525e-4
asv_4854,1361M,11,3.169572107765452e-4
asv_86416,1361M,11,3.169572107765452e-4
asv_105215,1361M,9,2.593286269989915e-4
asv_4272,1361M,3,8.64428756663305e-5
asv_338,1361M,513,0.01478173173894251
asv_23311,1361M,5,1.4407145944388418e-4
asv_282,1361M,72,0.00207462901599193
asv_105257,1361M,7,2.0170004322143785e-4
asv_730,1361M,1,2.8814291888776833e-5
asv_31290,1361M,6,1.72885751332661e-4
asv_105308,1361M,5,1.4407145944388418e-4
asv_938,1361M,20,5.762858377755367e-4
asv_52877,1361M,3,8.64428756663305e-5
asv_28443,1361M,1,2.8814291888776833e-5
asv_1,1361N,31116,0.8469012819465992
asv_25,1361N,53,0.00144253014343648
asv_15,1361N,113,0.00307558313600609
asv_526,1361N,8,2.177403990092812e-4
asv_324,1361N,38,0.00103426689529408
asv_148,1361N,16,4.354807980185624e-4
asv_2419,1361N,92,0.00250401458860673
asv_322,1361N,47,0.00127922484417952
asv_39,1361N,15,4.082632481424022e-4
asv_53,1361N,15,4.082632481424022e-4
asv_218,1361N,1,2.721754987616015e-5
asv_9,1361N,88,0.00239514438910209
asv_20,1361N,17,4.626983478947225e-4
asv_79,1361N,391,0.01064206200157861
asv_47,1361N,7,1.9052284913312104e-4
asv_401,1361N,56,0.00152418279306496
asv_4,1361N,730,0.01986881140959691
asv_330,1361N,26,7.076562967801639e-4
asv_569,1361N,78,0.00212296889034049
asv_1968,1361N,27,7.34873846656324e-4
asv_366,1361N,15,4.082632481424022e-4
asv_1678,1361N,266,0.00723986826705859
asv_756,1361N,71,0.00193244604120737
asv_2329,1361N,138,0.0037560218829101
asv_27,1361N,56,0.00152418279306496
asv_44,1361N,299,0.00813804741297188
asv_112,1361N,60,0.0016330529925696
asv_40,1361N,11,2.9939304863776164e-4
asv_313,1361N,13,3.5382814839008195e-4
asv_728,1361N,40,0.0010887019950464
asv_177,1361N,64,0.00174192319207424
asv_211,1361N,83,0.00225905663972129
asv_69,1361N,31,8.437440461609646e-4
asv_1003,1361N,31,8.437440461609646e-4
asv_869,1361N,29,7.893089464086443e-4
asv_5426,1361N,5,1.3608774938080075e-4
asv_46,1361N,22,5.987860972755233e-4
asv_6,1361N,84,0.00228627418959745
asv_72,1361N,8,2.177403990092812e-4
asv_411,1361N,62,0.00168748809232192
asv_899,1361N,98,0.00266731988786369
asv_54,1361N,19,5.171334476470428e-4
asv_334,1361N,2,5.44350997523203e-5
asv_13704,1361N,20,5.44350997523203e-4
asv_412,1361N,9,2.449579488854413e-4
asv_2,1361N,32,8.709615960371248e-4
asv_4722,1361N,72,0.00195966359108353
asv_870,1361N,34,9.25396695789445e-4
asv_190,1361N,10,2.721754987616015e-4
asv_38,1361N,9,2.449579488854413e-4
asv_7,1361N,44,0.00119757219455104
asv_1776,1361N,2,5.44350997523203e-5
asv_104958,1361N,37,0.00100704934541792
asv_98,1361N,7,1.9052284913312104e-4
asv_53345,1361N,48,0.00130644239405568
asv_1870,1361N,19,5.171334476470428e-4
asv_105,1361N,7,1.9052284913312104e-4
asv_266,1361N,4,1.088701995046406e-4
asv_8615,1361N,23,6.260036471516835e-4
asv_1509,1361N,12,3.2661059851392176e-4
asv_402,1361N,38,0.00103426689529408
asv_57403,1361N,11,2.9939304863776164e-4
asv_231,1361N,23,6.260036471516835e-4
asv_249,1361N,957,0.02604719523148526
asv_56,1361N,44,0.00119757219455104
asv_290,1361N,30,8.165264962848044e-4
asv_4683,1361N,27,7.34873846656324e-4
asv_1387,1361N,19,5.171334476470428e-4
asv_105092,1361N,24,6.532211970278435e-4
asv_10974,1361N,18,4.899158977708826e-4
asv_17218,1361N,22,5.987860972755233e-4
asv_30547,1361N,21,5.715685473993631e-4
asv_4707,1361N,21,5.715685473993631e-4
asv_6236,1361N,14,3.810456982662421e-4
asv_50,1361N,18,4.899158977708826e-4
asv_29871,1361N,15,4.082632481424022e-4
asv_105117,1361N,19,5.171334476470428e-4
asv_43,1361N,42,0.00114313709479872
asv_77589,1361N,16,4.354807980185624e-4
asv_15420,1361N,5,1.3608774938080075e-4
asv_4854,1361N,4,1.088701995046406e-4
asv_4474,1361N,15,4.082632481424022e-4
asv_1277,1361N,14,3.810456982662421e-4
asv_37017,1361N,9,2.449579488854413e-4
asv_28615,1361N,11,2.9939304863776164e-4
asv_134,1361N,11,2.9939304863776164e-4
asv_3,1361N,17,4.626983478947225e-4
asv_105205,1361N,10,2.721754987616015e-4
asv_4272,1361N,6,1.6330529925696088e-4
asv_4451,1361N,9,2.449579488854413e-4
asv_41633,1361N,9,2.449579488854413e-4
asv_338,1361N,234,0.00636890667102147
asv_464,1361N,8,2.177403990092812e-4
asv_21,1361N,68,0.00185079339157889
asv_282,1361N,37,0.00100704934541792
asv_105258,1361N,7,1.9052284913312104e-4
asv_4571,1361N,7,1.9052284913312104e-4
asv_730,1361N,1,2.721754987616015e-5
asv_938,1361N,25,6.804387469040037e-4
asv_105321,1361N,4,1.088701995046406e-4
asv_70653,1361N,4,1.088701995046406e-4
asv_726,1361N,3,8.165264962848044e-5
asv_802,1361N,3,8.165264962848044e-5
asv_57260,1361N,3,8.165264962848044e-5
asv_4980,1361N,2,5.44350997523203e-5
asv_105385,1361N,2,5.44350997523203e-5
asv_105386,1361N,2,5.44350997523203e-5
asv_105387,1361N,2,5.44350997523203e-5
asv_1,1361Q,44,8.160691433128698e-4
asv_30,1361Q,17859,0.3312313370551032
asv_2419,1361Q,98,0.00181760854646957
asv_53,1361Q,10,1.8547025984383403e-4
asv_4,1361Q,13953,0.25878665356010166
asv_1678,1361Q,20,3.7094051968766806e-4
asv_2329,1361Q,17,3.152994417345179e-4
asv_728,1361Q,6,1.1128215590630044e-4
asv_177,1361Q,525,0.00973718864180128
asv_78,1361Q,7,1.2982918189068384e-4
asv_869,1361Q,12,2.2256431181260085e-4
asv_6,1361Q,11208,0.2078750672329692
asv_72,1361Q,3,5.564107795315021e-5
asv_411,1361Q,11,2.0401728582821745e-4
asv_190,1361Q,4,7.418810393753362e-5
asv_104955,1361Q,47,8.7171022126602e-4
asv_104958,1361Q,13,2.4111133779698425e-4
asv_48,1361Q,10,1.8547025984383403e-4
asv_249,1361Q,9870,0.1830591464658642
asv_15420,1361Q,6,1.1128215590630044e-4
asv_2761,1361Q,11,2.0401728582821745e-4
asv_338,1361Q,13,2.4111133779698425e-4
asv_57019,1361Q,8,1.4837620787506723e-4
asv_938,1361Q,149,0.00276350687167312
asv_3483,1361Q,6,1.1128215590630044e-4
asv_37233,1361Q,3,5.564107795315021e-5
asv_1012,1361Q,2,3.709405196876681e-5
asv_105389,1361Q,2,3.709405196876681e-5
asv_1,1361R,47,8.339099732084243e-4
asv_8,1361R,10,1.774276538741328e-4
asv_30,1361R,9026,0.16014620038679228
asv_5381,1361R,6,1.0645659232447968e-4
asv_2419,1361R,8,1.419421230993063e-4
asv_218,1361R,7,1.2419935771189298e-4
asv_1862,1361R,764,0.01355547275598374
asv_42,1361R,12,2.1291318464895936e-4
asv_104447,1361R,8,1.419421230993063e-4
asv_4,1361R,7217,0.12804953780096165
asv_7075,1361R,5,8.87138269370664e-5
asv_728,1361R,4,7.097106154965313e-5
asv_177,1361R,42,7.451961462713578e-4
asv_78,1361R,8,1.419421230993063e-4
asv_211,1361R,10,1.774276538741328e-4
asv_1772,1361R,2,3.5485530774826566e-5
asv_6,1361R,10182,0.18065683717464204
asv_54,1361R,2,3.5485530774826566e-5
asv_249,1361R,28941,0.5134933730771278
asv_1980,1361R,33,5.855112577846383e-4
asv_15420,1361R,2,3.5485530774826566e-5
asv_338,1361R,9,1.5968488848671955e-4
asv_938,1361R,16,2.8388424619861253e-4
asv_1,1361S,20,3.785226261899805e-4
asv_30,1361S,615,0.0116395707553419
asv_1876,1361S,76,0.00143838597952192
asv_1862,1361S,229,0.00433408406987527
asv_748,1361S,81,0.00153301663606942
asv_18795,1361S,20,3.785226261899805e-4
asv_42,1361S,8,1.514090504759922e-4
asv_4,1361S,2150,0.0406911823154229
asv_177,1361S,104,0.00196831765618789
asv_78,1361S,41625,0.7878002157578969
asv_891,1361S,77,0.00145731211083142
asv_56389,1361S,45,8.516759089274562e-4
asv_6,1361S,1247,0.02360088574294528
asv_17817,1361S,27,5.110055453564737e-4
asv_109,1361S,259,0.00490186800916024
asv_411,1361S,5,9.463065654749512e-5
asv_870,1361S,12,2.2711357571398832e-4
asv_190,1361S,7,1.3248291916649317e-4
asv_249,1361S,6194,0.11722845733103696
asv_938,1361S,32,6.056362019039688e-4
asv_64193,1361S,4,7.57045252379961e-5
asv_1,1361T,22,5.780194950211503e-4
asv_8,1361T,5,1.3136806705026143e-4
asv_30,1361T,201,0.0052809962954205
asv_1876,1361T,59,0.00155014319119308
asv_1862,1361T,7,1.83915293870366e-4
asv_748,1361T,15,3.941042011507843e-4
asv_4,1361T,520,0.01366227897322718
asv_177,1361T,9,2.3646252069047056e-4
asv_78,1361T,33825,0.8887049735950185
asv_891,1361T,20,5.254722682010457e-4
asv_56389,1361T,45,0.00118231260345235
asv_6,1361T,176,0.0046241559601692
asv_17817,1361T,19,4.991986547909934e-4
asv_109,1361T,2286,0.06006148025537952
asv_249,1361T,849,0.02230629778513439
asv_105356,1361T,3,7.882084023015685e-5
asv_1,1361U,15,3.696857670979667e-4
asv_30,1361U,23,5.668515095502157e-4
asv_4,1361U,63,0.00155268022181146
asv_3354,1361U,65,0.00160197165742452
asv_177,1361U,27,6.654343807763402e-4
asv_78,1361U,39543,0.97456561922366
asv_891,1361U,6,1.478743068391867e-4
asv_17817,1361U,11,2.7110289587184227e-4
asv_109,1361U,582,0.01434380776340111
asv_870,1361U,4,9.858287122612446e-5
asv_249,1361U,89,0.00219346888478126
asv_608,1361U,147,0.00362292051756007
asv_1,1361V,29,5.339421501298032e-4
asv_30,1361V,27,4.971185535691271e-4
asv_1876,1361V,860,0.01583414652109071
asv_748,1361V,480,0.00883766317456226
asv_4,1361V,30,5.523539484101412e-4
asv_756,1361V,4,7.364719312135216e-5
asv_3354,1361V,257,0.00473183215804687
asv_177,1361V,15,2.761769742050706e-4
asv_78,1361V,47976,0.8833244342974979
asv_891,1361V,3,5.523539484101412e-5
asv_6,1361V,18,3.314123690460847e-4
asv_17817,1361V,19,3.498241673264228e-4
asv_109,1361V,2941,0.05414909874247418
asv_13704,1361V,5,9.20589914016902e-5
asv_249,1361V,61,0.00112311969510062
asv_6236,1361V,7,1.288825879623663e-4
asv_608,1361V,1559,0.028703993519047
asv_63859,1361V,11,2.0252978108371844e-4
asv_938,1361V,11,2.0252978108371844e-4
asv_1,1361W,1056,0.02570281124497992
asv_15,1361W,7,1.703784836314957e-4
asv_288,1361W,387,0.00941949616648411
asv_1876,1361W,216,0.00525739320920043
asv_9,1361W,604,0.01470122915906048
asv_399,1361W,12,2.9207740051113545e-4
asv_104581,1361W,906,0.02205184373859072
asv_748,1361W,305,0.00742363392965802
asv_79,1361W,226,0.00550079104295971
asv_104609,1361W,709,0.01725690641353292
asv_104618,1361W,322,0.0078374102470488
asv_4,1361W,70,0.00170378483631495
asv_7075,1361W,513,0.01248630887185104
asv_104632,1361W,235,0.00571984909334306
asv_94,1361W,2741,0.06671534623341853
asv_628,1361W,372,0.0090543994158452
asv_3354,1361W,23,5.598150176463429e-4
asv_24583,1361W,43,0.0010466106851649
asv_68,1361W,5738,0.1396616770110746
asv_177,1361W,28,6.815139345259828e-4
asv_78,1361W,4360,0.10612145551904588
asv_381,1361W,127,0.00309115248874285
asv_104774,1361W,173,0.00421078252403553
asv_104799,1361W,143,0.00348058902275769
asv_104801,1361W,139,0.00338322988925398
asv_287,1361W,125,0.00304247292199099
asv_17817,1361W,13,3.164171838870634e-4
asv_109,1361W,980,0.02385298770840939
asv_48,1361W,1460,0.03553608372885481
asv_2493,1361W,8,1.9471826700742363e-4
asv_608,1361W,184,0.00447852014117074
asv_338,1361W,14238,0.3465498357064622
asv_282,1361W,398,0.00968723378361932
asv_938,1361W,5,1.2169891687963976e-4
asv_104521,1361W,2169,0.05279299014238773
asv_2383,1361W,2050,0.04989655592065231
asv_1,1361X,2582,0.04902779887589245
asv_288,1361X,1128,0.02141880601549445
asv_30,1361X,48,9.11438553850828e-4
asv_1856,1361X,4,7.595321282090232e-5
asv_322,1361X,4,7.595321282090232e-5
asv_218,1361X,2,3.797660641045116e-5
asv_9,1361X,251,0.00476606410451162
asv_399,1361X,127,0.00241151450706364
asv_84,1361X,2,3.797660641045116e-5
asv_104618,1361X,323,0.00613322193528786
asv_4,1361X,30,5.696490961567674e-4
asv_7075,1361X,22,4.177426705149628e-4
asv_104632,1361X,297,0.00563952605195199
asv_392,1361X,525,0.00996885918274343
asv_94,1361X,9675,0.1837118335105575
asv_628,1361X,73,0.00138614613398146
asv_3354,1361X,25,4.7470758013063954e-4
asv_24583,1361X,156,0.00296217530001519
asv_1864,1361X,290,0.00550660792951541
asv_68,1361X,3329,0.06321206137019596
asv_177,1361X,8,1.5190642564180464e-4
asv_78,1361X,8044,0.15274191098283457
asv_381,1361X,52,9.873917666717302e-4
asv_17817,1361X,27,5.126841865410906e-4
asv_109,1361X,448,0.00850675983594106
asv_74,1361X,3393,0.0644273127753304
asv_48,1361X,1479,0.02808370044052863
asv_105075,1361X,28,5.316724897463163e-4
asv_49249,1361X,7,1.3291812243657907e-4
asv_163,1361X,16,3.038128512836093e-4
asv_608,1361X,115,0.00218365486860094
asv_314,1361X,2453,0.04657830776241835
asv_338,1361X,17326,0.3289913413337384
asv_282,1361X,314,0.00596232720644083
asv_2383,1361X,61,0.00115828649551876
asv_2,1362C,462,0.00659199543411571
asv_27,1362C,909,0.01296996504244845
asv_51,1362C,100,0.00142683883855318
asv_3319,1362C,1130,0.01612327887565099
asv_121,1362C,384,0.00547906114004423
asv_7,1362C,7631,0.10888207176999358
asv_110,1362C,790,0.01127202682457016
asv_191,1362C,467,0.00666333737604337
asv_10721,1362C,342,0.00487978882785189
asv_99,1362C,131,0.00186915887850467
asv_48,1362C,10,1.4268388385531855e-4
asv_46,1362C,142,0.00202611115074552
asv_22,1362C,18,2.568309909395734e-4
asv_49,1362C,377,0.0053791824213455
asv_43,1362C,357,0.00509381465363487
asv_66,1362C,760,0.0108439751730042
asv_173,1362C,212,0.00302489833773275
asv_385,1362C,507,0.00723407291146465
asv_610,1362C,30,4.280516515659556e-4
asv_31,1362C,198,0.0028251409003353
asv_2581,1362C,59,8.418349147463794e-4
asv_56,1362C,1074,0.01532424912606121
asv_338,1362C,884,0.01261325533281016
asv_279,1362C,528,0.00753370906756081
asv_5,1362C,131,0.00186915887850467
asv_103595,1362C,129,0.0018406221017336
asv_1662,1362C,216,0.00308197189127488
asv_13268,1362C,352,0.00502247271170721
asv_399,1362C,34,4.8512520510808307e-4
asv_253,1362C,20,2.853677677106371e-4
asv_1076,1362C,272,0.00388100164086466
asv_7358,1362C,44,6.278090889634015e-4
asv_54,1362C,27,3.8524648640936006e-4
asv_226,1362C,200,0.00285367767710637
asv_359,1362C,31,4.423200399514875e-4
asv_55619,1362C,399,0.00569308696582721
asv_85,1362C,52,7.419561960476564e-4
asv_132,1362C,59,8.418349147463794e-4
asv_2330,1362C,408,0.00582150246129699
asv_87,1362C,151,0.00215452664621531
asv_165,1362C,205,0.00292501961903403
asv_11,1362C,419,0.00597845473353784
asv_677,1362C,367,0.00523649853749019
asv_219,1362C,98,0.00139830206178212
asv_7028,1362C,329,0.00469429977883998
asv_3951,1362C,10,1.4268388385531855e-4
asv_3,1362C,2191,0.03126203895270029
asv_3752,1362C,7,9.987871869872298e-5
asv_1396,1362C,180,0.00256830990939573
asv_585,1362C,3,4.280516515659556e-5
asv_49118,1362C,123,0.00175501177142041
asv_3794,1362C,57,8.132981379753157e-4
asv_1601,1362C,195,0.00278233573517871
asv_1907,1362C,236,0.00336733965898551
asv_7775,1362C,263,0.00375258614539487
asv_1302,1362C,4,5.707355354212742e-5
asv_262,1362C,117,0.00166940144110722
asv_11661,1362C,98,0.00139830206178212
asv_4415,1362C,51,7.276878076621245e-4
asv_278,1362C,27,3.8524648640936006e-4
asv_159,1362C,13,1.854890490119141e-4
asv_3207,1362C,182,0.00259684668616679
asv_696,1362C,61,8.703716915174431e-4
asv_6,1362C,465,0.00663480059927231
asv_2787,1362C,13,1.854890490119141e-4
asv_62,1362C,1794,0.02559748876364414
asv_1345,1362C,5,7.134194192765928e-5
asv_5506,1362C,4,5.707355354212742e-5
asv_190,1362C,353,0.00503674110009274
asv_145,1362C,37,5.279303702646786e-4
asv_50,1362C,1363,0.01944781336947991
asv_1151,1362C,155,0.00221160019975743
asv_171,1362C,1988,0.02836555611043732
asv_2382,1362C,31,4.423200399514875e-4
asv_103738,1362C,3,4.280516515659556e-5
asv_1206,1362C,100,0.00142683883855318
asv_4,1362C,1552,0.02214453877434543
asv_32,1362C,354,0.00505100948847827
asv_111,1362C,28,3.995148747948919e-4
asv_103751,1362C,141,0.00201184276235999
asv_88,1362C,563,0.00803310266105443
asv_64,1362C,92,0.00131269173146893
asv_614,1362C,5,7.134194192765928e-5
asv_100,1362C,571,0.00814724976813868
asv_2303,1362C,74,0.00105586074052935
asv_47,1362C,3066,0.04374687879004067
asv_117,1362C,90,0.00128415495469786
asv_775,1362C,5,7.134194192765928e-5
asv_433,1362C,91,0.00129842334308339
asv_7819,1362C,55,7.84761361204252e-4
asv_430,1362C,81,0.00115573945922808
asv_372,1362C,34,4.8512520510808307e-4
asv_28443,1362C,1,1.4268388385531856e-5
asv_4678,1362C,20,2.853677677106371e-4
asv_103832,1362C,3,4.280516515659556e-5
asv_210,1362C,14,1.9975743739744596e-4
asv_1,1362C,17,2.4256260255404153e-4
asv_14,1362C,39,5.564671470357424e-4
asv_265,1362C,21,2.996361560961689e-4
asv_598,1362C,89,0.00126988656631233
asv_412,1362C,503,0.00717699935792252
asv_5914,1362C,21,2.996361560961689e-4
asv_195,1362C,75,0.00107012912891488
asv_8,1362C,1280,0.01826353713348077
asv_76,1362C,33,4.708568167225512e-4
asv_2385,1362C,11,1.5695227224085038e-4
asv_688,1362C,23,3.2817293286723263e-4
asv_16358,1362C,33,4.708568167225512e-4
asv_648,1362C,7,9.987871869872298e-5
asv_816,1362C,25,3.5670970963829634e-4
asv_105,1362C,121,0.00172647499464935
asv_26420,1362C,70,9.987871869872298e-4
asv_249,1362C,20,2.853677677106371e-4
asv_334,1362C,7,9.987871869872298e-5
asv_21,1362C,124,0.00176928015980595
asv_23,1362C,2598,0.03706927302561175
asv_8142,1362C,9,1.284154954697867e-4
asv_2353,1362C,7,9.987871869872298e-5
asv_576,1362C,21,2.996361560961689e-4
asv_2674,1362C,23,3.2817293286723263e-4
asv_1459,1362C,11,1.5695227224085038e-4
asv_237,1362C,33,4.708568167225512e-4
asv_83,1362C,45,6.420774773489334e-4
asv_40,1362C,126,0.00179781693657701
asv_25,1362C,24,3.424413212527645e-4
asv_967,1362C,20,2.853677677106371e-4
asv_1475,1362C,108,0.00154098594563744
asv_98,1362C,27,3.8524648640936006e-4
asv_52,1362C,293,0.00418063779696083
asv_76573,1362C,6,8.561033031319112e-5
asv_493,1362C,17,2.4256260255404153e-4
asv_30544,1362C,29,4.137832631804238e-4
asv_806,1362C,28,3.995148747948919e-4
asv_59,1362C,445,0.00634943283156167
asv_131,1362C,127,0.00181208532496254
asv_1793,1362C,21,2.996361560961689e-4
asv_35,1362C,53,7.562245844331883e-4
asv_869,1362C,4,5.707355354212742e-5
asv_69,1362C,237,0.00338160804737104
asv_64412,1362C,10,1.4268388385531855e-4
asv_26552,1362C,1,1.4268388385531856e-5
asv_370,1362C,4,5.707355354212742e-5
asv_29871,1362C,5,7.134194192765928e-5
asv_453,1362C,1306,0.0186345152315046
asv_13,1362C,676,0.00964543054861953
asv_2990,1362C,14,1.9975743739744596e-4
asv_133,1362C,171,0.00243989441392594
asv_20,1362C,159,0.00226867375329956
asv_24033,1362C,13,1.854890490119141e-4
asv_32349,1362C,13,1.854890490119141e-4
asv_104231,1362C,6,8.561033031319112e-5
asv_12299,1362C,12,1.7122066062638224e-4
asv_24,1362C,1709,0.02438467575087393
asv_10,1362C,18396,0.26248127274024396
asv_282,1362C,5,7.134194192765928e-5
asv_21818,1362C,5,7.134194192765928e-5
asv_230,1362C,11,1.5695227224085038e-4
asv_275,1362C,9,1.284154954697867e-4
asv_39,1362C,66,9.417136334451024e-4
asv_104292,1362C,8,1.1414710708425484e-4
asv_14333,1362C,8,1.1414710708425484e-4
asv_5084,1362C,380,0.0054219875865021
asv_123,1362C,176,0.0025112363558536
asv_18125,1362C,7,9.987871869872298e-5
asv_54564,1362C,7,9.987871869872298e-5
asv_23096,1362C,6,8.561033031319112e-5
asv_101,1362C,14,1.9975743739744596e-4
asv_267,1362C,53,7.562245844331883e-4
asv_72,1362C,466,0.00664906898765784
asv_55,1362C,50,7.134194192765927e-4
asv_104383,1362C,3,4.280516515659556e-5
asv_104395,1362C,2,2.853677677106371e-5
asv_104417,1362C,1,1.4268388385531856e-5
asv_148,1362C,1068,0.01523863879574802
